Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/cancel),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/feedback),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/goal),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/result),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/status),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint1/parameter_descriptions),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint1/parameter_updates),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint2/parameter_descriptions),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint2/parameter_updates),Counter(/EffortJointInterface_trajectory_gripper/state),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/cancel),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/feedback),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/goal),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/result),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/status),Counter(/PositionJointInterface_trajectory_controller/state),Counter(/camera/rgb_camera_info),Counter(/camera/rgb_image/compressed),Counter(/camera/rgb_image/compressed/parameter_descriptions),Counter(/camera/rgb_image/compressed/parameter_updates),Counter(/camera/rgb_image/compressedDepth/parameter_descriptions),Counter(/camera/rgb_image/compressedDepth/parameter_updates),Counter(/camera/rgb_image/theora),Counter(/camera/rgb_image/theora/parameter_descriptions),Counter(/camera/rgb_image/theora/parameter_updates),Counter(/camera_ir/depth/camera_info),Counter(/camera_ir/parameter_descriptions),Counter(/camera_ir/parameter_updates),Counter(/clock),Counter(/execute_trajectory/feedback),Counter(/execute_trajectory/goal),Counter(/execute_trajectory/result),Counter(/execute_trajectory/status),Counter(/joint_states),Counter(/move_group/display_planned_path),Counter(/move_group/feedback),Counter(/move_group/goal),Counter(/move_group/monitored_planning_scene),Counter(/move_group/ompl/parameter_descriptions),Counter(/move_group/ompl/parameter_updates),Counter(/move_group/plan_execution/parameter_descriptions),Counter(/move_group/plan_execution/parameter_updates),Counter(/move_group/planning_scene_monitor/parameter_descriptions),Counter(/move_group/planning_scene_monitor/parameter_updates),Counter(/move_group/result),Counter(/move_group/sense_for_plan/parameter_descriptions),Counter(/move_group/sense_for_plan/parameter_updates),Counter(/move_group/status),Counter(/move_group/trajectory_execution/parameter_descriptions),Counter(/move_group/trajectory_execution/parameter_updates),Counter(/pickup/status),Counter(/place/status),Counter(/rosout),Counter(/rosout_agg),Counter(/statistics),Counter(/tf),Counter(/tf_static)
0,0,0,0,5,1,1,1,1,17,0,0,0,0,4,12,0,0,1,1,1,1,0,1,1,0,1,1,515,0,0,0,3,27,1,0,0,2,1,1,1,1,1,1,0,1,1,3,1,1,4,4,37,0,2,32,1
0,0,0,0,2,0,0,0,0,12,0,0,0,0,2,12,2,1,0,0,0,0,4,0,0,1,0,0,491,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,3,2,2,8,26,0
0,0,0,0,3,0,0,0,0,12,0,0,0,0,3,12,1,2,0,0,0,0,1,0,0,2,0,0,479,0,0,0,2,23,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,8,24,0
0,0,0,0,2,0,0,0,0,12,0,0,0,0,2,12,2,1,0,0,0,0,2,0,0,2,0,0,500,0,0,0,3,25,0,1,1,1,0,0,0,0,0,0,0,0,0,4,0,0,3,3,7,7,12,25,0
0,0,0,0,3,0,0,0,0,13,0,3,1,0,4,13,1,2,0,0,0,0,2,0,0,1,0,0,500,1,1,0,3,25,1,1,0,2,0,0,0,0,0,0,1,0,0,3,0,0,2,2,6,6,9,25,0
0,0,0,0,2,0,0,0,0,12,0,15,0,0,2,12,2,1,0,0,0,0,2,0,0,2,0,0,491,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,3,1,2,8,25,0
0,0,0,0,3,0,0,0,0,13,0,15,0,0,3,13,2,2,0,0,0,0,2,0,0,2,0,0,496,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,9,25,0
0,0,0,0,2,0,0,0,0,12,0,15,0,0,2,11,2,1,0,0,0,0,1,0,0,2,0,0,483,0,0,0,3,24,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,3,1,1,10,24,0
0,0,0,0,3,0,0,0,0,13,0,15,0,0,3,13,1,1,0,0,0,0,2,0,0,1,0,0,500,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,1,8,24,0
0,0,0,0,2,0,0,0,0,12,0,15,0,0,2,12,2,2,0,0,0,0,2,0,0,2,0,0,500,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,3,2,2,4,25,0
0,0,0,0,3,0,0,0,0,13,0,15,0,0,3,13,2,2,0,0,0,0,2,0,0,2,0,0,499,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,12,25,0
